sample,task_ID,group
201,0,1
202,0,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,0,1
211,0,1
212,0,1
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,0,1
231,0,1
232,0,1
233,0,1
234,0,1
235,0,1
236,0,1
237,0,1
238,0,1
239,0,1
240,0,1
241,0,1
242,0,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,0,1
250,0,1
251,0,1
252,0,1
253,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
1001,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1032,0,0
1034,0,0
1035,0,0
1037,0,0
1038,0,0
1039,0,0
1040,0,0
1041,0,0
1042,0,0
1043,0,0
1082,0,0
1083,0,0
1084,0,0
1085,0,0
1086,0,0
1087,0,0
1088,0,0
1089,0,0
1090,0,0
1091,0,0
1092,0,0
1093,0,0
1094,0,0
1095,0,0
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,0,0
3091,1,1
3092,1,1
3093,1,1
3094,1,1
3095,1,1
3096,1,1
3097,1,1
3098,1,1
3099,1,1
3100,1,1
3101,1,1
3102,1,1
3103,1,1
3104,1,1
3105,1,1
3106,1,1
3107,1,1
3108,1,1
3109,1,1
3110,1,1
3111,1,1
3112,1,1
3113,1,1
3114,1,1
3115,1,1
3116,1,1
3117,1,1
3118,1,1
3119,1,1
3120,1,1
3121,1,1
3122,1,1
3123,1,1
3124,1,1
3125,1,1
3126,1,1
3127,1,1
3128,1,1
3129,1,1
3130,1,1
3131,1,1
3132,1,1
3133,1,1
3134,1,1
3135,1,1
3136,1,1
3137,1,1
3138,1,1
3139,1,1
3140,1,1
3141,1,1
3142,1,1
3143,1,1
3144,1,1
3145,1,1
3146,1,1
3147,1,1
3148,1,1
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,0
214,2,0
215,2,0
216,2,0
217,2,0
218,2,0
219,2,0
220,2,0
221,2,0
222,2,0
223,2,0
224,2,0
225,2,0
226,2,0
227,2,0
228,2,0
229,2,0
230,2,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,0
236,2,0
237,2,0
238,2,0
239,2,0
240,2,0
241,2,0
242,2,0
243,2,0
244,2,0
245,2,0
246,2,0
247,2,0
248,2,0
250,2,0
251,2,0
252,2,0
253,2,0
255,2,0
256,2,0
257,2,0
258,2,0
259,2,0
260,2,0
1001,1,0
1003,1,0
1004,1,0
1005,1,0
1006,1,0
1007,1,0
1008,1,0
1009,1,0
1010,1,0
1011,1,0
1012,1,0
1013,1,0
1014,1,0
1015,1,0
1016,1,0
1017,1,0
1018,1,0
1019,1,0
1020,1,0
1021,1,0
1022,1,0
1023,1,0
1024,1,0
1025,1,0
1026,1,0
1027,1,0
1028,1,0
1032,1,0
1034,1,0
1035,1,0
1037,1,0
1038,1,0
1039,1,0
1040,1,0
1041,1,0
1042,1,0
1043,1,0
1082,1,0
1083,1,0
1084,1,0
1085,1,0
1086,1,0
1087,1,0
1088,1,0
1089,1,0
1090,1,0
1091,1,0
1092,1,0
1093,1,0
1094,1,0
1095,1,0
1096,1,0
1097,1,0
1098,1,0
1099,1,0
1100,1,0
3091,2,1
3092,2,1
3093,2,1
3094,2,1
3095,2,1
3096,2,1
3097,2,1
3098,2,1
3099,2,1
3100,2,1
3101,2,1
3102,2,1
3103,2,1
3104,2,1
3105,2,1
3106,2,1
3107,2,1
3108,2,1
3109,2,1
3110,2,1
3111,2,1
3112,2,1
3113,2,1
3114,2,1
3115,2,1
3116,2,1
3117,2,1
3118,2,1
3119,2,1
3120,2,1
3121,2,1
3122,2,1
3123,2,1
3124,2,1
3125,2,1
3126,2,1
3127,2,1
3128,2,1
3129,2,1
3130,2,1
3131,2,1
3132,2,1
3133,2,1
3134,2,1
3135,2,1
3136,2,1
3137,2,1
3138,2,1
3139,2,1
3140,2,1
3141,2,1
3142,2,1
3143,2,1
3144,2,1
3145,2,1
3146,2,1
3147,2,1
3148,2,1
