sample,task_ID,group
11,0,0
26,0,0
27,0,0
31,0,0
47,0,0
65,0,0
73,0,0
78,0,0
94,0,0
95,0,0
103,0,0
104,0,0
105,0,0
113,0,0
116,0,0
122,0,0
126,0,0
129,0,0
131,0,0
156,0,0
162,0,0
163,0,0
164,0,0
174,0,0
178,0,0
212,0,0
229,0,0
232,0,0
246,0,0
258,0,0
260,0,0
279,0,0
287,0,0
298,0,0
350,0,0
370,0,0
372,0,0
373,0,0
10,0,1
17,0,1
18,0,1
28,0,1
33,0,1
34,0,1
38,0,1
48,0,1
58,0,1
60,0,1
67,0,1
70,0,1
81,0,1
91,0,1
102,0,1
109,0,1
110,0,1
112,0,1
114,0,1
117,0,1
124,0,1
145,0,1
151,0,1
159,0,1
172,0,1
176,0,1
179,0,1
197,0,1
198,0,1
199,0,1
200,0,1
201,0,1
209,0,1
220,0,1
227,0,1
235,0,1
237,0,1
243,0,1
249,0,1
255,0,1
257,0,1
265,0,1
268,0,1
272,0,1
275,0,1
277,0,1
278,0,1
296,0,1
303,0,1
304,0,1
305,0,1
310,0,1
317,0,1
320,0,1
339,0,1
360,0,1
361,0,1
377,0,1
381,0,1
382,0,1
11,1,0
26,1,0
27,1,0
31,1,0
47,1,0
65,1,0
73,1,0
78,1,0
94,1,0
95,1,0
103,1,0
104,1,0
105,1,0
113,1,0
116,1,0
122,1,0
126,1,0
129,1,0
131,1,0
156,1,0
162,1,0
163,1,0
164,1,0
174,1,0
178,1,0
212,1,0
229,1,0
232,1,0
246,1,0
258,1,0
260,1,0
279,1,0
287,1,0
298,1,0
350,1,0
370,1,0
372,1,0
373,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
13,1,1
14,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
30,1,1
35,1,1
40,1,1
41,1,1
43,1,1
44,1,1
50,1,1
55,1,1
57,1,1
59,1,1
61,1,1
62,1,1
63,1,1
64,1,1
66,1,1
68,1,1
69,1,1
71,1,1
75,1,1
76,1,1
77,1,1
82,1,1
84,1,1
87,1,1
88,1,1
89,1,1
90,1,1
92,1,1
93,1,1
96,1,1
97,1,1
99,1,1
100,1,1
101,1,1
108,1,1
115,1,1
118,1,1
119,1,1
120,1,1
121,1,1
123,1,1
125,1,1
127,1,1
128,1,1
130,1,1
132,1,1
133,1,1
134,1,1
136,1,1
137,1,1
138,1,1
140,1,1
141,1,1
142,1,1
144,1,1
148,1,1
149,1,1
150,1,1
152,1,1
157,1,1
158,1,1
160,1,1
166,1,1
167,1,1
168,1,1
173,1,1
175,1,1
177,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
190,1,1
191,1,1
192,1,1
194,1,1
195,1,1
204,1,1
205,1,1
207,1,1
208,1,1
210,1,1
213,1,1
214,1,1
215,1,1
216,1,1
218,1,1
219,1,1
223,1,1
225,1,1
226,1,1
228,1,1
230,1,1
231,1,1
233,1,1
234,1,1
236,1,1
239,1,1
240,1,1
242,1,1
245,1,1
248,1,1
250,1,1
253,1,1
254,1,1
256,1,1
261,1,1
262,1,1
264,1,1
266,1,1
271,1,1
276,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
289,1,1
290,1,1
293,1,1
297,1,1
299,1,1
300,1,1
301,1,1
302,1,1
306,1,1
307,1,1
308,1,1
309,1,1
313,1,1
314,1,1
315,1,1
316,1,1
319,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
327,1,1
330,1,1
331,1,1
332,1,1
333,1,1
335,1,1
336,1,1
340,1,1
342,1,1
343,1,1
347,1,1
348,1,1
351,1,1
357,1,1
359,1,1
362,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
374,1,1
376,1,1
378,1,1
379,1,1
384,1,1
385,1,1
386,1,1
11,2,0
26,2,0
27,2,0
31,2,0
47,2,0
65,2,0
73,2,0
78,2,0
94,2,0
95,2,0
103,2,0
104,2,0
105,2,0
113,2,0
116,2,0
122,2,0
126,2,0
129,2,0
131,2,0
156,2,0
162,2,0
163,2,0
164,2,0
174,2,0
178,2,0
212,2,0
229,2,0
232,2,0
246,2,0
258,2,0
260,2,0
279,2,0
287,2,0
298,2,0
350,2,0
370,2,0
372,2,0
373,2,0
12,2,1
15,2,1
16,2,1
29,2,1
32,2,1
36,2,1
37,2,1
39,2,1
42,2,1
45,2,1
49,2,1
51,2,1
52,2,1
53,2,1
54,2,1
72,2,1
74,2,1
79,2,1
80,2,1
83,2,1
85,2,1
86,2,1
98,2,1
106,2,1
107,2,1
111,2,1
135,2,1
139,2,1
143,2,1
146,2,1
147,2,1
153,2,1
154,2,1
155,2,1
161,2,1
165,2,1
169,2,1
170,2,1
171,2,1
181,2,1
182,2,1
189,2,1
193,2,1
196,2,1
202,2,1
203,2,1
206,2,1
211,2,1
217,2,1
221,2,1
222,2,1
224,2,1
238,2,1
241,2,1
244,2,1
247,2,1
251,2,1
252,2,1
259,2,1
263,2,1
267,2,1
270,2,1
273,2,1
274,2,1
285,2,1
286,2,1
288,2,1
291,2,1
292,2,1
294,2,1
295,2,1
311,2,1
312,2,1
326,2,1
328,2,1
329,2,1
334,2,1
337,2,1
338,2,1
341,2,1
344,2,1
345,2,1
346,2,1
349,2,1
352,2,1
353,2,1
354,2,1
355,2,1
356,2,1
358,2,1
