sample,task_ID,group
11,0,0
26,0,0
27,0,0
31,0,0
47,0,0
65,0,0
73,0,0
78,0,0
94,0,0
95,0,0
103,0,0
104,0,0
105,0,0
113,0,0
116,0,0
122,0,0
126,0,0
129,0,0
131,0,0
156,0,0
162,0,0
163,0,0
164,0,0
174,0,0
178,0,0
212,0,0
229,0,0
232,0,0
246,0,0
258,0,0
260,0,0
279,0,0
287,0,0
298,0,0
350,0,0
370,0,0
372,0,0
373,0,0
10,0,1
17,0,1
18,0,1
28,0,1
33,0,1
34,0,1
38,0,1
48,0,1
58,0,1
60,0,1
67,0,1
70,0,1
81,0,1
91,0,1
102,0,1
109,0,1
110,0,1
112,0,1
114,0,1
117,0,1
124,0,1
145,0,1
151,0,1
159,0,1
172,0,1
176,0,1
179,0,1
197,0,1
198,0,1
199,0,1
200,0,1
201,0,1
209,0,1
220,0,1
227,0,1
235,0,1
237,0,1
243,0,1
249,0,1
255,0,1
11,1,0
26,1,0
27,1,0
31,1,0
47,1,0
65,1,0
73,1,0
78,1,0
94,1,0
95,1,0
103,1,0
104,1,0
105,1,0
113,1,0
116,1,0
122,1,0
126,1,0
129,1,0
131,1,0
156,1,0
162,1,0
163,1,0
164,1,0
174,1,0
178,1,0
212,1,0
229,1,0
232,1,0
246,1,0
258,1,0
260,1,0
279,1,0
287,1,0
298,1,0
350,1,0
370,1,0
372,1,0
373,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
13,1,1
14,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
30,1,1
35,1,1
40,1,1
41,1,1
43,1,1
44,1,1
50,1,1
55,1,1
57,1,1
59,1,1
61,1,1
62,1,1
63,1,1
64,1,1
66,1,1
68,1,1
69,1,1
71,1,1
75,1,1
76,1,1
77,1,1
82,1,1
11,2,0
26,2,0
27,2,0
31,2,0
47,2,0
65,2,0
73,2,0
78,2,0
94,2,0
95,2,0
103,2,0
104,2,0
105,2,0
113,2,0
116,2,0
122,2,0
126,2,0
129,2,0
131,2,0
156,2,0
162,2,0
163,2,0
164,2,0
174,2,0
178,2,0
212,2,0
229,2,0
232,2,0
246,2,0
258,2,0
260,2,0
279,2,0
287,2,0
298,2,0
350,2,0
370,2,0
372,2,0
373,2,0
12,2,1
15,2,1
16,2,1
29,2,1
32,2,1
36,2,1
37,2,1
39,2,1
42,2,1
45,2,1
49,2,1
51,2,1
52,2,1
53,2,1
54,2,1
72,2,1
74,2,1
79,2,1
80,2,1
83,2,1
85,2,1
86,2,1
98,2,1
106,2,1
107,2,1
111,2,1
135,2,1
139,2,1
143,2,1
146,2,1
147,2,1
153,2,1
154,2,1
155,2,1
161,2,1
165,2,1
169,2,1
170,2,1
171,2,1
181,2,1
10,3,0
17,3,0
18,3,0
28,3,0
33,3,0
34,3,0
38,3,0
48,3,0
58,3,0
60,3,0
67,3,0
70,3,0
81,3,0
91,3,0
102,3,0
109,3,0
110,3,0
112,3,0
114,3,0
117,3,0
124,3,0
145,3,0
151,3,0
159,3,0
172,3,0
176,3,0
179,3,0
197,3,0
198,3,0
199,3,0
200,3,0
201,3,0
209,3,0
220,3,0
227,3,0
235,3,0
237,3,0
243,3,0
249,3,0
255,3,0
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,3,1
8,3,1
9,3,1
13,3,1
14,3,1
19,3,1
20,3,1
21,3,1
22,3,1
23,3,1
24,3,1
25,3,1
30,3,1
35,3,1
40,3,1
41,3,1
43,3,1
44,3,1
50,3,1
55,3,1
57,3,1
59,3,1
61,3,1
62,3,1
63,3,1
64,3,1
66,3,1
68,3,1
69,3,1
71,3,1
75,3,1
76,3,1
77,3,1
82,3,1
10,4,0
17,4,0
18,4,0
28,4,0
33,4,0
34,4,0
38,4,0
48,4,0
58,4,0
60,4,0
67,4,0
70,4,0
81,4,0
91,4,0
102,4,0
109,4,0
110,4,0
112,4,0
114,4,0
117,4,0
124,4,0
145,4,0
151,4,0
159,4,0
172,4,0
176,4,0
179,4,0
197,4,0
198,4,0
199,4,0
200,4,0
201,4,0
209,4,0
220,4,0
227,4,0
235,4,0
237,4,0
243,4,0
249,4,0
255,4,0
12,4,1
15,4,1
16,4,1
29,4,1
32,4,1
36,4,1
37,4,1
39,4,1
42,4,1
45,4,1
49,4,1
51,4,1
52,4,1
53,4,1
54,4,1
72,4,1
74,4,1
79,4,1
80,4,1
83,4,1
85,4,1
86,4,1
98,4,1
106,4,1
107,4,1
111,4,1
135,4,1
139,4,1
143,4,1
146,4,1
147,4,1
153,4,1
154,4,1
155,4,1
161,4,1
165,4,1
169,4,1
170,4,1
171,4,1
181,4,1
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
13,5,0
14,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,0
30,5,0
35,5,0
40,5,0
41,5,0
43,5,0
44,5,0
50,5,0
55,5,0
57,5,0
59,5,0
61,5,0
62,5,0
63,5,0
64,5,0
66,5,0
68,5,0
69,5,0
71,5,0
75,5,0
76,5,0
77,5,0
82,5,0
12,5,1
15,5,1
16,5,1
29,5,1
32,5,1
36,5,1
37,5,1
39,5,1
42,5,1
45,5,1
49,5,1
51,5,1
52,5,1
53,5,1
54,5,1
72,5,1
